Ultimo aggiornamento,Capienza Regolamentare,Detenuti presenti - totale,Detenuti presenti - donne,Detenuti presenti - stranieri
2019-01-31,50550,60125,2580,20309
2019-02-28,50522,60348,2623,20325
2019-03-31,50514,60611,2656,20412
2019-04-30,50511,60439,2659,20324
2019-05-31,50528,60476,2648,20277
2019-06-30,50496,60522,2632,20224
2019-07-31,50480,60254,2635,20080
2019-08-31,50469,60741,2666,20351
2019-09-30,50472,60881,2652,20225
2019-10-31,50474,60985,2676,20149
2019-11-30,50476,61174,2713,20091
2019-12-31,50688,60769,2663,19888
2020-02-29,50931,61230,2702,19899
2020-03-31,50754,57846,2496,18975
2020-04-30,50438,53904,2224,17861
2020-05-31,50472,53387,2213,17572
2020-06-30,50501,53579,2250,17510
2020-07-31,50558,53619,2248,17448
2020-08-31,50574,53921,2263,17607
2020-09-30,50570,54277,2279,17602
2020-10-31,50553,54868,2308,17713
2020-11-30,50568,54368,2303,17640
2020-12-31,50562,53364,2255,17344
2021-01-31,50551,53329,2250,17291
2021-02-28,50551,53697,2252,17306
2021-03-31,50779,53509,2239,17131
2021-04-30,50785,53608,2238,17031
2021-05-31,50780,53660,2224,16940
2021-06-30,50779,53637,2228,17019
2021-07-31,50877,53129,2209,16829
2021-08-31,50867,53557,2217,17066
2021-09-30,50857,53930,2264,17209
2021-10-31,50851,54307,2283,17315
2021-11-30,50809,54593,2313,17302
2021-12-31,50835,54134,2237,17043
2022-01-31,50862,54372,2248,17103
2022-02-28,50856,54645,2263,17099
2022-03-31,50853,54609,2276,17104
2022-04-30,50853,54595,2276,17110
2022-05-31,50859,54771,2296,17136
2022-06-30,50900,54841,2314,17182
2022-07-31,50909,54979,2307,17246
2022-08-31,50922,55637,2331,17675
2022-09-30,50942,55835,2310,17740
2022-10-31,51174,56225,2352,17854
2022-11-30,51333,56524,2389,17882
2022-12-31,51328,56196,2365,17683
2023-01-31,51403,56127,2392,17687
2023-02-28,51285,56319,2425,17654
2023-03-31,51261,56605,2477,17676
2023-04-30,51249,56674,2480,17723
2023-05-31,51153,57230,2504,17902
2023-06-30,51187,57525,2512,17987
2023-07-31,51285,57749,2510,18044
2023-08-31,51206,58428,2498,18414
2023-09-30,51285,58987,2498,18572
2023-10-31,51275,59715,2525,18803
2023-11-30,51272,60116,2549,18868
2023-12-31,51179,60166,2541,18894
2024-01-31,51347,60637,2615,18985
2024-02-29,51187,60924,2611,19035
2024-03-31,51178,61049,2619,19108
2024-04-30,51167,61297,2649,19219
2024-05-31,51241,61547,2663,19259
2024-06-30,51234,61480,2682,19213
2024-07-31,51207,61133,2682,19150
2024-08-31,50911,61758,2686,19507
